,model_path,train_data_path,valid_data_path,vocab_path,model_type,max_length,hidden_size,kernel_size,num_layers,epoch,batch_size,pooling_style,optimizer,learning_rate,pretrain_model_path,seed,accurancy,class_num,vocab_size
94,output,文本分类练习Train.csv,文本分类练习Test.csv,chars.txt,cnn,30,256,3,2,15,128,avg,adam,0.0001,E:\学习资料_summary\八斗课程-精品班\第六周\bert-base-chinese,987,0.8888888888888888,2.0,4622.0
95,output,文本分类练习Train.csv,文本分类练习Test.csv,chars.txt,cnn,30,256,3,2,15,128,max,adam,0.0001,E:\学习资料_summary\八斗课程-精品班\第六周\bert-base-chinese,987,0.8888888888888888,2.0,4622.0
96,output,文本分类练习Train.csv,文本分类练习Test.csv,chars.txt,stack_gated_cnn,30,128,3,2,15,64,avg,adam,0.001,E:\学习资料_summary\八斗课程-精品班\第六周\bert-base-chinese,987,0.9090909090909091,2.0,4622.0
97,output,文本分类练习Train.csv,文本分类练习Test.csv,chars.txt,stack_gated_cnn,30,128,3,2,15,64,max,adam,0.001,E:\学习资料_summary\八斗课程-精品班\第六周\bert-base-chinese,987,0.898989898989899,2.0,4622.0
98,output,文本分类练习Train.csv,文本分类练习Test.csv,chars.txt,stack_gated_cnn,30,128,3,2,15,128,avg,adam,0.001,E:\学习资料_summary\八斗课程-精品班\第六周\bert-base-chinese,987,0.8686868686868687,2.0,4622.0
99,output,文本分类练习Train.csv,文本分类练习Test.csv,chars.txt,stack_gated_cnn,30,128,3,2,15,128,max,adam,0.001,E:\学习资料_summary\八斗课程-精品班\第六周\bert-base-chinese,987,0.8787878787878788,2.0,4622.0
100,output,文本分类练习Train.csv,文本分类练习Test.csv,chars.txt,stack_gated_cnn,30,256,3,2,15,64,avg,adam,0.001,E:\学习资料_summary\八斗课程-精品班\第六周\bert-base-chinese,987,0.8787878787878788,2.0,4622.0
101,output,文本分类练习Train.csv,文本分类练习Test.csv,chars.txt,stack_gated_cnn,30,256,3,2,15,64,max,adam,0.001,E:\学习资料_summary\八斗课程-精品班\第六周\bert-base-chinese,987,0.898989898989899,2.0,4622.0
102,output,文本分类练习Train.csv,文本分类练习Test.csv,chars.txt,stack_gated_cnn,30,256,3,2,15,128,avg,adam,0.001,E:\学习资料_summary\八斗课程-精品班\第六周\bert-base-chinese,987,0.898989898989899,2.0,4622.0
103,output,文本分类练习Train.csv,文本分类练习Test.csv,chars.txt,stack_gated_cnn,30,256,3,2,15,128,max,adam,0.001,E:\学习资料_summary\八斗课程-精品班\第六周\bert-base-chinese,987,0.8888888888888888,2.0,4622.0
104,output,文本分类练习Train.csv,文本分类练习Test.csv,chars.txt,stack_gated_cnn,30,128,3,2,15,64,avg,adam,0.0001,E:\学习资料_summary\八斗课程-精品班\第六周\bert-base-chinese,987,0.8686868686868687,2.0,4622.0
105,output,文本分类练习Train.csv,文本分类练习Test.csv,chars.txt,stack_gated_cnn,30,128,3,2,15,64,max,adam,0.0001,E:\学习资料_summary\八斗课程-精品班\第六周\bert-base-chinese,987,0.898989898989899,2.0,4622.0
106,output,文本分类练习Train.csv,文本分类练习Test.csv,chars.txt,stack_gated_cnn,30,128,3,2,15,128,avg,adam,0.0001,E:\学习资料_summary\八斗课程-精品班\第六周\bert-base-chinese,987,0.8787878787878788,2.0,4622.0
107,output,文本分类练习Train.csv,文本分类练习Test.csv,chars.txt,stack_gated_cnn,30,128,3,2,15,128,max,adam,0.0001,E:\学习资料_summary\八斗课程-精品班\第六周\bert-base-chinese,987,0.8787878787878788,2.0,4622.0
108,output,文本分类练习Train.csv,文本分类练习Test.csv,chars.txt,stack_gated_cnn,30,256,3,2,15,64,avg,adam,0.0001,E:\学习资料_summary\八斗课程-精品班\第六周\bert-base-chinese,987,0.8888888888888888,2.0,4622.0
109,output,文本分类练习Train.csv,文本分类练习Test.csv,chars.txt,stack_gated_cnn,30,256,3,2,15,64,max,adam,0.0001,E:\学习资料_summary\八斗课程-精品班\第六周\bert-base-chinese,987,0.8888888888888888,2.0,4622.0
110,output,文本分类练习Train.csv,文本分类练习Test.csv,chars.txt,stack_gated_cnn,30,256,3,2,15,128,avg,adam,0.0001,E:\学习资料_summary\八斗课程-精品班\第六周\bert-base-chinese,987,0.8484848484848485,2.0,4622.0
111,output,文本分类练习Train.csv,文本分类练习Test.csv,chars.txt,stack_gated_cnn,30,256,3,2,15,128,max,adam,0.0001,E:\学习资料_summary\八斗课程-精品班\第六周\bert-base-chinese,987,0.9090909090909091,2.0,4622.0
112,output,文本分类练习Train.csv,文本分类练习Test.csv,chars.txt,rcnn,30,128,3,2,15,64,avg,adam,0.001,E:\学习资料_summary\八斗课程-精品班\第六周\bert-base-chinese,987,0.8787878787878788,2.0,4622.0
113,output,文本分类练习Train.csv,文本分类练习Test.csv,chars.txt,rcnn,30,128,3,2,15,64,max,adam,0.001,E:\学习资料_summary\八斗课程-精品班\第六周\bert-base-chinese,987,0.8585858585858586,2.0,4622.0
114,output,文本分类练习Train.csv,文本分类练习Test.csv,chars.txt,rcnn,30,128,3,2,15,128,avg,adam,0.001,E:\学习资料_summary\八斗课程-精品班\第六周\bert-base-chinese,987,0.898989898989899,2.0,4622.0
