model_type,max_length,hidden_size,kernel_size,num_layers,epoch,batch_size,pooling_style,optimizer,learning_rate,class_num,vocab_size,acc
gru,30,64,3,6,15,128,avg,adam,1.00E-05,2,4622,0.64432703
gru,30,64,3,6,15,128,max,adam,1.00E-05,2,4622,0.666295884
gru,30,128,3,6,15,64,avg,adam,1.00E-05,2,4622,0.666295884
gru,30,128,3,6,15,64,max,adam,1.00E-05,2,4622,0.661197627
gru,30,128,3,6,15,128,avg,adam,1.00E-05,2,4622,0.666295884
gru,30,128,3,6,15,128,max,adam,1.00E-05,2,4622,0.658787542
gru,30,256,3,6,15,64,avg,adam,1.00E-05,2,4622,0.666295884
gru,30,256,3,6,15,64,max,adam,1.00E-05,2,4622,0.666295884
gru,30,256,3,6,15,128,avg,adam,1.00E-05,2,4622,0.666295884
gru,30,256,3,6,15,128,max,adam,1.00E-05,2,4622,0.666295884
gru,30,512,3,6,15,64,avg,adam,1.00E-05,2,4622,0.666295884
gru,30,512,3,6,15,64,max,adam,1.00E-05,2,4622,0.666295884
gru,30,512,3,6,15,128,avg,adam,1.00E-05,2,4622,0.666295884
gru,30,512,3,6,15,128,max,adam,1.00E-05,2,4622,0.666295884
rnn,30,64,3,6,15,64,avg,adam,0.001,2,4622,0.739061921
rnn,30,64,3,6,15,64,max,adam,0.001,2,4622,0.783926585
rnn,30,64,3,6,15,128,avg,adam,0.001,2,4622,0.790878754
rnn,30,64,3,6,15,128,max,adam,0.001,2,4622,0.767334075
rnn,30,128,3,6,15,64,avg,adam,0.001,2,4622,0.692992214
rnn,30,128,3,6,15,64,max,adam,0.001,2,4622,0.795513534
rnn,30,128,3,6,15,128,avg,adam,0.001,2,4622,0.779847979
rnn,30,128,3,6,15,128,max,adam,0.001,2,4622,0.784482759
rnn,30,256,3,6,15,64,avg,adam,0.001,2,4622,0.77122729
rnn,30,256,3,6,15,64,max,adam,0.001,2,4622,0.770671116
rnn,30,256,3,6,15,128,avg,adam,0.001,2,4622,0.830088988
rnn,30,256,3,6,15,128,max,adam,0.001,2,4622,0.812569522
rnn,30,512,3,6,15,64,avg,adam,0.001,2,4622,0.673433445
rnn,30,512,3,6,15,64,max,adam,0.001,2,4622,0.80756396
rnn,30,512,3,6,15,128,avg,adam,0.001,2,4622,0.641546162
rnn,30,512,3,6,15,128,max,adam,0.001,2,4622,0.738876529
rnn,30,64,3,6,15,64,avg,adam,0.0001,2,4622,0.666295884
rnn,30,64,3,6,15,64,max,adam,0.0001,2,4622,0.717278458
rnn,30,64,3,6,15,128,avg,adam,0.0001,2,4622,0.666295884
rnn,30,64,3,6,15,128,max,adam,0.0001,2,4622,0.666295884
rnn,30,128,3,6,15,64,avg,adam,0.0001,2,4622,0.785038932
rnn,30,128,3,6,15,64,max,adam,0.0001,2,4622,0.746941046
rnn,30,128,3,6,15,128,avg,adam,0.0001,2,4622,0.708935855
rnn,30,128,3,6,15,128,max,adam,0.0001,2,4622,0.717185762
rnn,30,256,3,6,15,64,avg,adam,0.0001,2,4622,0.770856507
