model_type,epoch,opt,lr,hidden_size,batch_size,pooling_style,time_value,acc,call_back,loss,precision
bert_lstm,5,sgd,0.001,128,128,avg,126,0.8264497288277013,0.5883838383838383,0.523343046506246,0.8381294964028777
bert_lstm,5,sgd,0.001,128,128,max,127,0.8064246975385899,0.48737373737373735,0.5403727475802104,0.8693693693693694
bert_lstm,5,sgd,0.001,128,128,last,127,0.8293700458906967,0.6136363636363636,0.4803999261061351,0.8251273344651953
bert_lstm,5,sgd,0.001,512,128,avg,127,0.8410513141426783,0.6161616161616161,0.5176759290695191,0.863716814159292
bert_lstm,5,sgd,0.001,512,128,max,127,0.7642886942010847,0.31565656565656564,0.5649526158968607,0.9157509157509157
bert_lstm,5,sgd,0.001,512,128,last,127,0.7934918648310388,0.46085858585858586,0.5422089874744416,0.8429561200923787
bert_lstm,15,adam,0.1,128,128,avg,396,0.3304130162703379,1.0,1.544578230381012,0.3304130162703379
bert_lstm,15,adam,0.1,128,128,max,388,0.6695869837296621,0.0,2.3432057460149127,0.0
bert_lstm,15,adam,0.1,128,128,last,394,0.3304130162703379,1.0,0.938336374759674,0.3304130162703379
bert_lstm,15,adam,0.1,512,128,avg,395,0.6695869837296621,0.0,2.2755460953712463,0.0
bert_lstm,15,adam,0.1,512,128,max,395,0.6695869837296621,0.0,0.9754696218172709,0.0
bert_lstm,15,adam,0.1,512,128,last,392,0.6695869837296621,0.0,0.9149676219622294,0.0
bert_lstm,15,adam,0.001,128,128,avg,396,0.6695869837296621,0.0,0.6375616693496704,0.0
bert_lstm,15,adam,0.001,128,128,max,398,0.6695869837296621,0.0,0.6380026547114054,0.0
bert_lstm,15,adam,0.001,128,128,last,397,0.6695869837296621,0.0,0.6381788269678752,0.0
bert_lstm,15,adam,0.001,512,128,avg,397,0.6695869837296621,0.0,0.6374331601460774,0.0
bert_lstm,15,adam,0.001,512,128,max,398,0.6695869837296621,0.0,0.6376204021771749,0.0
bert_lstm,15,adam,0.001,512,128,last,397,0.6695869837296621,0.0,0.637977774143219,0.0
bert_lstm,15,sgd,0.1,128,128,avg,376,0.8836045056320401,0.7310606060606061,0.09653873222569624,0.8976744186046511
bert_lstm,15,sgd,0.1,128,128,max,376,0.6695869837296621,0.0,0.6383152890205384,0.0
